Title,Summary,Topics,Language,First Update,Last Update,Stars,Forks
Welcome to Streamlit 👋,"Streamlit lets you transform Python scripts into interactive web apps in minutes, instead of weeks. Build dashboards, generate reports, or create chat apps. Once you’ve created an app, you can use ourCommunity Cloud platformto deploy, manage, and share your app. Open a terminal and run: If this opens our sweetStreamlit Helloapp in your browser, you're all set! If not, head over toour docsfor specific installs.","[data-analysis, data-science, data-visualization, deep-learning, developer-tools, machine-learning, python, streamlit]",Python,2019-08-24,2026-05-25,44703,4261
Gradio: Build Machine Learning Web Apps — in Python,"When developing locally, you can run your Gradio app inhot reload mode, which automatically reloads the Gradio app whenever you make changes to the file. To do this, simply type ingradiobefore the name of the file instead ofpython. In the example above, you would type:gradio app. pyin your terminal. You can also enablevibe modeby using the--vibeflag, e. g. gradio --vibe app. py, which provides an in-browser chat that can be used to write or edit your Gradio app using natural language. Learn more in theHot Reloading Guide.","[data-analysis, data-science, data-visualization, deep-learning, deploy, gradio, gradio-interface, interface, machine-learning, models, python, python-notebook, ui, ui-components]",Python,2018-12-19,2026-05-25,42678,3472
Data Science for Beginners - A Curriculum,"Complete Beginners: New to data science? Start with ourbeginner-friendly examples! These simple, well-commented examples will help you understand the basics before diving into the full curriculum. Students: to use this curriculum on your own, fork the entire repo and complete the exercises on your own, starting with a pre-lecture quiz. Then read the lecture and complete the rest of the activities. Try to create the projects by comprehending the lessons rather than copying the solution code; however, that code is available in the /solutions folders in each project-oriented lesson. Another idea would be to form a study group with friends and go through the content together. For further study, we recommendMicrosoft Learn.","[data-analysis, data-science, data-visualization, microsoft-for-beginners, pandas, python]",Jupyter Notebook,2021-03-03,2026-05-25,35422,7207
spaCy: Industrial-strength NLP,"spaCy comes withpretrained pipelinesand currently
supports tokenization and training for70+ languages. It features
state-of-the-art speed andneural network modelsfor tagging, parsing,named entity recognition,text classificationand more, multi-task
learning with pretrainedtransformerslike BERT, as well as a
production-readytraining systemand easy
model packaging, deployment and workflow management. spaCy is commercial
open-source software, released under theMIT license. 💫Version 3. 8 out now!Check out the release notes here. The spaCy project is maintained by thespaCy team. Please understand that we won't be able to provide individual support via email. We also believe that help is much more valuable if it's shared publicly, so that
more people can benefit from it.","[ai, artificial-intelligence, cython, data-science, deep-learning, entity-linking, machine-learning, named-entity-recognition, natural-language-processing, neural-network, neural-networks, nlp, nlp-library, python, spacy, text-classification, tokenization]",Python,2014-07-03,2026-05-24,33608,4685
Machine Learning From Scratch,"The purpose of this project is not to produce as optimized and computationally efficient algorithms as possible
but rather to present the inner workings of them in a transparent and accessible way. Figure: Training progress of a regularized polynomial regression model fittingtemperature data measured in Linköping, Sweden 2016. Figure: Classification of the digit dataset using CNN.","[data-mining, data-science, deep-learning, deep-reinforcement-learning, genetic-algorithm, machine-learning, machine-learning-from-scratch]",Python,2017-02-05,2026-05-25,31523,5266
Why PyTorch Lightning?,"Training models in plain PyTorch requires writing and maintaining a lot of repetitive engineering code. Handling backpropagation, mixed precision, multi-GPU, and distributed training is error-prone and often reimplemented for every project. PyTorch Lightning organizes PyTorch code to automate this infrastructure while keeping full control over your model logic. You write the science. Lightning handles the engineering, and scales from CPU to multi-node GPUs without changing your core code. PyTorch experts can still opt intoexpert-level control. Fun analogy: If PyTorch is Javascript, PyTorch Lightning is ReactJS or NextJS. Lightning Cloudis the easiest way to run PyTorch Lightning without managing infrastructure. Start training with one command and get GPUs, autoscaling, monitoring, and a free tier. No cloud setup required.","[ai, artificial-intelligence, data-science, deep-learning, machine-learning, python, pytorch]",Python,2019-03-31,2026-05-25,31156,3725
applied-ml,"Curated papers, articles, and blogs ondata science & machine learning in production. ⚙️ Figuring out how to implement your ML project? Learn how other organizations did it: P. S. , Want a summary of ML advancements? 👉ml-surveys.","[applied-data-science, applied-machine-learning, computer-vision, data-discovery, data-engineering, data-quality, data-science, deep-learning, machine-learning, natural-language-processing, production, recsys, reinforcement-learning, search]",,2020-07-04,2026-05-25,29440,3908
AWESOME DATA SCIENCE,"Unlike R, Python was not built from the ground up with data science in mind, but there are plenty of third party libraries to make up for this. A much more exhaustive list of packages can be found later in this document, but these four packages are a good set of choices to start your data science journey with:Scikit-Learnis a general-purpose data science package which implements the most popular algorithms - it also includes rich documentation, tutorials, and examples of the models it implements. Even if you prefer to write your own implementations, Scikit-Learn is a valuable reference to the nuts-and-bolts behind many of the common algorithms you'll find. WithPandas, one can collect and analyze their data into a convenient table format. Numpyprovides very fast tooling for mathematical operations, with a focus on vectors and matrices. Seaborn, itself based on theMatplotlibpackage, is a quick way to generate beautiful visualizations of your data, with many good defaults available out of the box, as well as a gallery showing how to produce many common visualizations of your data. When embarking on your journey to becoming a data scientist, the choice of language isn't particularly important, and both Python and R have their pros and cons. Pick a language you like, and check out one of theFree courseswe've listed below! If you're just starting out, here's a simple recommended path:.","[analytics, awesome-list, data-mining, data-science, data-scientists, data-visualization, deep-learning, hacktoberfest, machine-learning, science]",,2014-07-05,2026-05-25,29259,6524
Welcome to Streamlit 👋,"['Streamlit lets you transform Python scripts into interactive web apps in minutes, instead of weeks. ', 'Build dashboards, generate reports, or create chat apps. ', 'Once you’ve created an app, you can use ourCommunity Cloud platformto deploy, manage, and share your app. ', ""Open a terminal and run: If this opens our sweetStreamlit Helloapp in your browser, you're all set! If not, head over toour docsfor specific installs. ""]","[data-analysis, data-science, data-visualization, deep-learning, developer-tools, machine-learning, python, streamlit]",Python,2019-08-24,2026-05-25,44703,4261
Gradio: Build Machine Learning Web Apps — in Python,"['When developing locally, you can run your Gradio app inhot reload mode, which automatically reloads the Gradio app whenever you make changes to the file. ', 'To do this, simply type ingradiobefore the name of the file instead ofpython. ', 'In the example above, you would type:gradio app. ', 'pyin your terminal. ', 'You can also enablevibe modeby using the--vibeflag, e. ', 'g. ', 'gradio --vibe app. ', 'py, which provides an in-browser chat that can be used to write or edit your Gradio app using natural language. ', 'Learn more in theHot Reloading Guide. ']","[data-analysis, data-science, data-visualization, deep-learning, deploy, gradio, gradio-interface, interface, machine-learning, models, python, python-notebook, ui, ui-components]",Python,2018-12-19,2026-05-25,42677,3472
