Title,Document Length,Abstract,Key Topics,Universities,Figures,Source Link
Analysis of the Reliability of a Biofuel Production Plant from Waste Cooking Oil,5,"The article considers the issue of increasing the structural reliability of a biofuel production plant. A review of the existing basic technological schemes of the biofuel production plant has been carried out. The main structural elements are determined and a functional diagram is constructed. Processed cooking oil was chosen as the input raw material. A structural analysis of the reliability of each element and the entire system as a whole was carried out. The least reliable elements are determined, options for improving the overall reliability of the installation are proposed.","[""The Biofuel Production Plant"", ""A Biofuel Production Plant"", ""The Least Reliable Elements"", ""The Input Raw Material"", ""The Structural Reliability""]","[""Russia Reshetnev Siberian State University of Science and Technology"", ""Russia Bauman Moscow State Technical University"", ""g Siberian Federal University""]",FIGURE 1. Serial connection of elements.,https://arxiv.org/pdf/2301.07956
Analysis of the Reliability of a Biofuel Production Plant from Waste Cooking Oil,5,"The article considers the issue of increasing the structural reliability of a biofuel production plant. A review of the existing basic technological schemes of the biofuel production plant has been carried out. The main structural elements are determined and a functional diagram is constructed. Processed cooking oil was chosen as the input raw material. A structural analysis of the reliability of each element and the entire system as a whole was carried out. The least reliable elements are determined, options for improving the overall reliability of the installation are proposed.","[""The Biofuel Production Plant"", ""A Biofuel Production Plant"", ""The Least Reliable Elements"", ""The Input Raw Material"", ""The Structural Reliability""]","[""Russia Reshetnev Siberian State University of Science and Technology"", ""Russia Bauman Moscow State Technical University"", ""g Siberian Federal University""]",FIGURE 2. Parallel connection of elements,https://arxiv.org/pdf/2301.07956
Analysis of the Reliability of a Biofuel Production Plant from Waste Cooking Oil,5,"The article considers the issue of increasing the structural reliability of a biofuel production plant. A review of the existing basic technological schemes of the biofuel production plant has been carried out. The main structural elements are determined and a functional diagram is constructed. Processed cooking oil was chosen as the input raw material. A structural analysis of the reliability of each element and the entire system as a whole was carried out. The least reliable elements are determined, options for improving the overall reliability of the installation are proposed.","[""The Biofuel Production Plant"", ""A Biofuel Production Plant"", ""The Least Reliable Elements"", ""The Input Raw Material"", ""The Structural Reliability""]","[""Russia Reshetnev Siberian State University of Science and Technology"", ""Russia Bauman Moscow State Technical University"", ""g Siberian Federal University""]",FIGURE 3. Technological scheme of the biofuel production unit.,https://arxiv.org/pdf/2301.07956
Analysis of the Reliability of a Biofuel Production Plant from Waste Cooking Oil,5,"The article considers the issue of increasing the structural reliability of a biofuel production plant. A review of the existing basic technological schemes of the biofuel production plant has been carried out. The main structural elements are determined and a functional diagram is constructed. Processed cooking oil was chosen as the input raw material. A structural analysis of the reliability of each element and the entire system as a whole was carried out. The least reliable elements are determined, options for improving the overall reliability of the installation are proposed.","[""The Biofuel Production Plant"", ""A Biofuel Production Plant"", ""The Least Reliable Elements"", ""The Input Raw Material"", ""The Structural Reliability""]","[""Russia Reshetnev Siberian State University of Science and Technology"", ""Russia Bauman Moscow State Technical University"", ""g Siberian Federal University""]",FIGURE 4. Functional diagram of a biofuel production plant.,https://arxiv.org/pdf/2301.07956
Using evolutionary machine learning to characterize and optimize co-pyrolysis of biomass feedstocks and polymeric wastes,45,"Co-pyrolysis of biomass feedstocks with polymeric wastes is a promising strategy for improving the quantity and quality parameters of the resulting liquid fuel. Numerous experimental measurements are typically conducted to find the optimal operating conditions. However, performing co-pyrolysis experiments is highly challenging due to the need for costly and lengthy procedures. Machine learning (ML) provides capabilities to cope with such issues by leveraging on existing data. This work aims to introduce an evolutionary ML approach to quantify the (by)products of the biomass-polymer co-pyrolysis process. A comprehensive dataset covering various biomass-polymer mixtures under a broad range of process conditions is compiled from the qualified literature. The database was subjected to statistical analysis and mechanistic discussion. The input features are constructed using an innovative approach to reflect the physics of the process. The constructed features are subjected to principal component analysis to reduce their dimensionality. The obtained scores are introduced into six ML models. Gaussian process regression model tuned by particle swarm optimization algorithm presents better prediction performance (R2 > 0.9, MAE < 0.03, and RMSE < 0.06) than other developed models. The multi-objective particle swarm optimization algorithm successfully finds optimal independent parameters.","[""The Resulting Liquid Fuel"", ""An Evolutionary Ml Approach"", ""Various BiomassPolymer Mixtures"", ""The Quantity And Quality Parameters"", ""The Optimal Operating Conditions""]","[""Henan Agricultural University"", ""Torrens University Australia"", ""University of Tehran""]",Figure 1. An overview of the research flowchart used in this study to develop ML models for biomass-polymer co-pyrolysis.,https://arxiv.org/pdf/2305.16350
Using evolutionary machine learning to characterize and optimize co-pyrolysis of biomass feedstocks and polymeric wastes,45,"Co-pyrolysis of biomass feedstocks with polymeric wastes is a promising strategy for improving the quantity and quality parameters of the resulting liquid fuel. Numerous experimental measurements are typically conducted to find the optimal operating conditions. However, performing co-pyrolysis experiments is highly challenging due to the need for costly and lengthy procedures. Machine learning (ML) provides capabilities to cope with such issues by leveraging on existing data. This work aims to introduce an evolutionary ML approach to quantify the (by)products of the biomass-polymer co-pyrolysis process. A comprehensive dataset covering various biomass-polymer mixtures under a broad range of process conditions is compiled from the qualified literature. The database was subjected to statistical analysis and mechanistic discussion. The input features are constructed using an innovative approach to reflect the physics of the process. The constructed features are subjected to principal component analysis to reduce their dimensionality. The obtained scores are introduced into six ML models. Gaussian process regression model tuned by particle swarm optimization algorithm presents better prediction performance (R2 > 0.9, MAE < 0.03, and RMSE < 0.06) than other developed models. The multi-objective particle swarm optimization algorithm successfully finds optimal independent parameters.","[""The Resulting Liquid Fuel"", ""An Evolutionary Ml Approach"", ""Various BiomassPolymer Mixtures"", ""The Quantity And Quality Parameters"", ""The Optimal Operating Conditions""]","[""Henan Agricultural University"", ""Torrens University Australia"", ""University of Tehran""]","Figure 2. Violin plot analysis of collected data. (A) feedstock composition, (B) reaction",https://arxiv.org/pdf/2305.16350
Using evolutionary machine learning to characterize and optimize co-pyrolysis of biomass feedstocks and polymeric wastes,45,"Co-pyrolysis of biomass feedstocks with polymeric wastes is a promising strategy for improving the quantity and quality parameters of the resulting liquid fuel. Numerous experimental measurements are typically conducted to find the optimal operating conditions. However, performing co-pyrolysis experiments is highly challenging due to the need for costly and lengthy procedures. Machine learning (ML) provides capabilities to cope with such issues by leveraging on existing data. This work aims to introduce an evolutionary ML approach to quantify the (by)products of the biomass-polymer co-pyrolysis process. A comprehensive dataset covering various biomass-polymer mixtures under a broad range of process conditions is compiled from the qualified literature. The database was subjected to statistical analysis and mechanistic discussion. The input features are constructed using an innovative approach to reflect the physics of the process. The constructed features are subjected to principal component analysis to reduce their dimensionality. The obtained scores are introduced into six ML models. Gaussian process regression model tuned by particle swarm optimization algorithm presents better prediction performance (R2 > 0.9, MAE < 0.03, and RMSE < 0.06) than other developed models. The multi-objective particle swarm optimization algorithm successfully finds optimal independent parameters.","[""The Resulting Liquid Fuel"", ""An Evolutionary Ml Approach"", ""Various BiomassPolymer Mixtures"", ""The Quantity And Quality Parameters"", ""The Optimal Operating Conditions""]","[""Henan Agricultural University"", ""Torrens University Australia"", ""University of Tehran""]",Figure 3 depicts the correlation matrix among the inputs and outputs of the biomass-polymer,https://arxiv.org/pdf/2305.16350
Using evolutionary machine learning to characterize and optimize co-pyrolysis of biomass feedstocks and polymeric wastes,45,"Co-pyrolysis of biomass feedstocks with polymeric wastes is a promising strategy for improving the quantity and quality parameters of the resulting liquid fuel. Numerous experimental measurements are typically conducted to find the optimal operating conditions. However, performing co-pyrolysis experiments is highly challenging due to the need for costly and lengthy procedures. Machine learning (ML) provides capabilities to cope with such issues by leveraging on existing data. This work aims to introduce an evolutionary ML approach to quantify the (by)products of the biomass-polymer co-pyrolysis process. A comprehensive dataset covering various biomass-polymer mixtures under a broad range of process conditions is compiled from the qualified literature. The database was subjected to statistical analysis and mechanistic discussion. The input features are constructed using an innovative approach to reflect the physics of the process. The constructed features are subjected to principal component analysis to reduce their dimensionality. The obtained scores are introduced into six ML models. Gaussian process regression model tuned by particle swarm optimization algorithm presents better prediction performance (R2 > 0.9, MAE < 0.03, and RMSE < 0.06) than other developed models. The multi-objective particle swarm optimization algorithm successfully finds optimal independent parameters.","[""The Resulting Liquid Fuel"", ""An Evolutionary Ml Approach"", ""Various BiomassPolymer Mixtures"", ""The Quantity And Quality Parameters"", ""The Optimal Operating Conditions""]","[""Henan Agricultural University"", ""Torrens University Australia"", ""University of Tehran""]",Figure 3. Correlation matrix between inputs and outputs.,https://arxiv.org/pdf/2305.16350
Using evolutionary machine learning to characterize and optimize co-pyrolysis of biomass feedstocks and polymeric wastes,45,"Co-pyrolysis of biomass feedstocks with polymeric wastes is a promising strategy for improving the quantity and quality parameters of the resulting liquid fuel. Numerous experimental measurements are typically conducted to find the optimal operating conditions. However, performing co-pyrolysis experiments is highly challenging due to the need for costly and lengthy procedures. Machine learning (ML) provides capabilities to cope with such issues by leveraging on existing data. This work aims to introduce an evolutionary ML approach to quantify the (by)products of the biomass-polymer co-pyrolysis process. A comprehensive dataset covering various biomass-polymer mixtures under a broad range of process conditions is compiled from the qualified literature. The database was subjected to statistical analysis and mechanistic discussion. The input features are constructed using an innovative approach to reflect the physics of the process. The constructed features are subjected to principal component analysis to reduce their dimensionality. The obtained scores are introduced into six ML models. Gaussian process regression model tuned by particle swarm optimization algorithm presents better prediction performance (R2 > 0.9, MAE < 0.03, and RMSE < 0.06) than other developed models. The multi-objective particle swarm optimization algorithm successfully finds optimal independent parameters.","[""The Resulting Liquid Fuel"", ""An Evolutionary Ml Approach"", ""Various BiomassPolymer Mixtures"", ""The Quantity And Quality Parameters"", ""The Optimal Operating Conditions""]","[""Henan Agricultural University"", ""Torrens University Australia"", ""University of Tehran""]",Figure 4 illustrates the van Krevelen diagrams of different biomass and polymeric waste,https://arxiv.org/pdf/2305.16350
Using evolutionary machine learning to characterize and optimize co-pyrolysis of biomass feedstocks and polymeric wastes,45,"Co-pyrolysis of biomass feedstocks with polymeric wastes is a promising strategy for improving the quantity and quality parameters of the resulting liquid fuel. Numerous experimental measurements are typically conducted to find the optimal operating conditions. However, performing co-pyrolysis experiments is highly challenging due to the need for costly and lengthy procedures. Machine learning (ML) provides capabilities to cope with such issues by leveraging on existing data. This work aims to introduce an evolutionary ML approach to quantify the (by)products of the biomass-polymer co-pyrolysis process. A comprehensive dataset covering various biomass-polymer mixtures under a broad range of process conditions is compiled from the qualified literature. The database was subjected to statistical analysis and mechanistic discussion. The input features are constructed using an innovative approach to reflect the physics of the process. The constructed features are subjected to principal component analysis to reduce their dimensionality. The obtained scores are introduced into six ML models. Gaussian process regression model tuned by particle swarm optimization algorithm presents better prediction performance (R2 > 0.9, MAE < 0.03, and RMSE < 0.06) than other developed models. The multi-objective particle swarm optimization algorithm successfully finds optimal independent parameters.","[""The Resulting Liquid Fuel"", ""An Evolutionary Ml Approach"", ""Various BiomassPolymer Mixtures"", ""The Quantity And Quality Parameters"", ""The Optimal Operating Conditions""]","[""Henan Agricultural University"", ""Torrens University Australia"", ""University of Tehran""]",Figure 4. Elemental ratios of biomass feedstocks and polymeric wastes.,https://arxiv.org/pdf/2305.16350
